id,ts_code,d_date,total_mv,row_num
3180,300656,2019-05-06,17.09,181
3181,603488,2019-05-06,17.11,182
3182,600241,2019-05-06,17.13,183
3183,300652,2019-05-06,17.18,184
3184,300669,2019-05-06,17.18,185
3185,000985,2019-05-06,17.22,186
3186,600275,2019-05-06,17.25,187
3187,300030,2019-05-06,17.26,188
3188,002021,2019-05-06,17.26,189
3189,300713,2019-05-06,17.29,190
3190,600980,2019-05-06,17.29,191
3191,300622,2019-05-06,17.31,192
3192,603917,2019-05-06,17.36,193
3193,603477,2019-05-06,17.45,194
3194,000023,2019-05-06,17.47,195
3195,600493,2019-05-06,17.6,196
3196,600302,2019-05-06,17.65,197
3197,002576,2019-05-06,17.68,198
3198,300243,2019-05-06,17.72,199
3199,600714,2019-05-06,17.72,200
3200,002260,2019-06-03,0.0,1
3201,000939,2019-06-03,0.0,2
3202,000995,2019-06-03,0.0,3
